rank,feature,sensor,group,importance,permutationMean,permutationStd
1,s0_rms,D0:99:8C:48:4D:38,amplitude,0.060312810858087935,-0.0007804370447450915,0.0004505855378691346
2,total_rms,all,amplitude,0.05545439070480031,-0.00039021852237254573,0.0005037699461768453
3,s1_max,D1:6E:A1:15:03:57,amplitude,0.05335341111217247,0.0027315296566076674,0.0010324211671688065
4,s0_max,D0:99:8C:48:4D:38,amplitude,0.05006493469388015,-0.002211238293444398,0.0006238074301915476
5,s2_rms,FA:91:56:1E:26:15,amplitude,0.04954399335484303,0.0016909469302809066,0.0007242149275273226
6,s0_p95,D0:99:8C:48:4D:38,amplitude,0.043139599924280396,0.0010405827263266915,0.000901171075738205
7,total_mean,all,amplitude,0.03928884775189907,-0.0006503642039542429,0.0005037699461768453
8,s0_mean,D0:99:8C:48:4D:38,amplitude,0.0379785949744877,0.0018210197710717413,0.0011339487366130582
9,s2_p95,FA:91:56:1E:26:15,amplitude,0.03682706414017358,0.0032518210197710062,0.0014189271741201499
10,s2_max,FA:91:56:1E:26:15,amplitude,0.03668364715664399,0.0035119667013527034,0.0015554449457728236
11,total_max,all,amplitude,0.03489699826634224,0.0002601456815816694,0.0011339487366130835
12,s0_std,D0:99:8C:48:4D:38,amplitude,0.034426507213126144,-0.00013007284079087633,0.0010960132379261706
13,s1_p95,D1:6E:A1:15:03:57,amplitude,0.032885177604571665,0.0039021852237252352,0.0012476148603831302
14,s2_mean,FA:91:56:1E:26:15,amplitude,0.0313633474890783,0.0014308012486992233,0.0005037699461768453
15,s1_rms,D1:6E:A1:15:03:57,amplitude,0.025938259467813606,0.0018210197710717413,0.001448429855054655
16,s0_frac_ge_0.01,D0:99:8C:48:4D:38,bursts/threshold duration,0.025610680803467636,-0.0016909469302810315,0.0005037699461768453
17,s2_late_mean,FA:91:56:1E:26:15,trend,0.0216097745542169,0.0007804370447450082,0.0004505855378690865
18,s2_frac_ge_0.5,FA:91:56:1E:26:15,bursts/threshold duration,0.01994231355112476,0.0,0.0
19,s1_mean,D1:6E:A1:15:03:57,amplitude,0.019216686611670232,0.0013007284079083886,0.0010075398923536298
20,s1_late_mean,D1:6E:A1:15:03:57,trend,0.01738701569573837,-0.00026014568158169715,0.0004505855378691346
21,s0_late_mean,D0:99:8C:48:4D:38,trend,0.016458536904049026,0.0,0.0
22,s1_std,D1:6E:A1:15:03:57,amplitude,0.01546695566699249,-0.0007804370447450915,0.0004505855378691346
23,active_sensors_0_01,all,sample/activity count,0.01375221582301724,-0.0011706555671176372,0.0003441403890562834
24,s1_early_mean,D1:6E:A1:15:03:57,trend,0.010999149884586829,0.0019510926118626176,0.0003441403890562834
25,s0_early_mean,D0:99:8C:48:4D:38,trend,0.010858951307442381,0.0002601456815816694,0.0004505855378690865
26,s1_late_early_ratio,D1:6E:A1:15:03:57,trend,0.010486782059782398,0.0019510926118625899,0.0008123046303848029
27,s0_duration_ge_0_01,D0:99:8C:48:4D:38,bursts/threshold duration,0.010379853588407397,-0.0011706555671176372,0.0003441403890562834
28,max_spread,all,floor balance/spread,0.009035591591556086,0.0010405827263267053,0.0007358031021712184
29,mean_spread,all,floor balance/spread,0.00795568367499229,0.0018210197710717552,0.0006882807781125405
30,s2_early_mean,FA:91:56:1E:26:15,trend,0.007928961219371356,0.0,0.0
31,s2_frac_ge_0.1,FA:91:56:1E:26:15,bursts/threshold duration,0.007906581730235595,0.0,0.0
32,s2_std,FA:91:56:1E:26:15,amplitude,0.007842275816745025,0.006893860561914628,0.001465846471069765
33,s2_frac_ge_0.01,FA:91:56:1E:26:15,bursts/threshold duration,0.006645573825854916,0.0,0.0
34,s1_duration_ge_0_01,D1:6E:A1:15:03:57,bursts/threshold duration,0.006480400201166691,-0.0007804370447450915,0.0004505855378691346
35,s1_frac_ge_0.01,D1:6E:A1:15:03:57,bursts/threshold duration,0.0062085078262961325,-0.0007804370447450915,0.0004505855378691346
36,s1_frac_ge_0.05,D1:6E:A1:15:03:57,bursts/threshold duration,0.0059027339356617385,0.0,0.0
37,s2_burstiness,FA:91:56:1E:26:15,bursts/threshold duration,0.005246988129028175,0.0,0.0
38,total_peaks_per_second,all,bursts/threshold duration,0.005222395245213659,-0.0007804370447450915,0.0004505855378691346
39,s0_late_early_ratio,D0:99:8C:48:4D:38,trend,0.004997604572748116,0.0,0.0
40,s2_high_band,FA:91:56:1E:26:15,frequency,0.004916829305732315,0.0007804370447450082,0.0004505855378690865
41,s1_burstiness,D1:6E:A1:15:03:57,bursts/threshold duration,0.004899263921404776,0.00013007284079082082,0.0006238074301915476
42,s0_frac_ge_0.5,D0:99:8C:48:4D:38,bursts/threshold duration,0.004860725904973605,0.0,0.0
43,s1_trend,D1:6E:A1:15:03:57,trend,0.004605626990370706,0.0002601456815816694,0.0004505855378690865
44,s1_duration_ge_0_05,D1:6E:A1:15:03:57,bursts/threshold duration,0.004552831220577643,0.0,0.0
45,s1_frac_ge_0.5,D1:6E:A1:15:03:57,bursts/threshold duration,0.004500417161685847,0.0,0.0
46,s2_late_early_ratio,FA:91:56:1E:26:15,trend,0.004316189338799632,0.0,0.0
47,max_to_mean_ratio,all,floor balance/spread,0.00395181601281216,0.0,0.0
48,s0_duration_ge_0_05,D0:99:8C:48:4D:38,bursts/threshold duration,0.003513706431887279,0.0,0.0
49,s2_mid_band,FA:91:56:1E:26:15,frequency,0.003510578783377111,0.001560874089490072,0.000901171075738221
50,s2_frac_ge_0.05,FA:91:56:1E:26:15,bursts/threshold duration,0.0034432125396742785,0.0,0.0
51,total_trend,all,trend,0.0034054879750957533,0.0003902185223725041,0.0005037699461767916
52,s0_trend,D0:99:8C:48:4D:38,trend,0.0032692104672744915,0.0,0.0
53,total_dominant_freq,all,frequency,0.003184291013751918,0.002991675338189309,0.00034414038905624663
54,total_burstiness,all,bursts/threshold duration,0.003158930773507188,-0.00039021852237254573,0.0005037699461768453
55,s0_frac_ge_0.05,D0:99:8C:48:4D:38,bursts/threshold duration,0.0031214267665578177,0.0,0.0
56,s2_duration_ge_0_05,FA:91:56:1E:26:15,bursts/threshold duration,0.0030450170864947048,0.0,0.0
57,s2_trend,FA:91:56:1E:26:15,trend,0.0029197357480536053,0.0,0.0
58,coherence_mean_corr,all,cross-floor coherence,0.0027489987346241383,0.0006503642039541735,0.0005037699461767916
59,s2_low_band,FA:91:56:1E:26:15,frequency,0.0027298162385652985,0.0,0.0
60,s0_burstiness,D0:99:8C:48:4D:38,bursts/threshold duration,0.00252934952308428,0.0,0.0
61,coherence_max_corr,all,cross-floor coherence,0.002455107456692705,0.0,0.0
62,total_high_band,all,frequency,0.002267230902135246,0.001560874089490072,0.000901171075738221
63,s2_spectral_centroid,FA:91:56:1E:26:15,frequency,0.0021454282048199787,0.0,0.0
64,s2_duration_ge_0_01,FA:91:56:1E:26:15,bursts/threshold duration,0.001945594391531065,0.0,0.0
65,total_mid_band,all,frequency,0.0017339033741639242,0.0001300728407908347,0.00034414038905624663
66,s0_spectral_centroid,D0:99:8C:48:4D:38,frequency,0.0013777500874644396,0.0,0.0
